from,to,fromCount,edgewidth
Measures of coagulation (MC),ACT (OM),1,1
Need for further intervention (D 36),Adverse events (D36) (MC),1,1
Adverse events and effects (D 38),Adverse events (D38) (MC),1,1
Adverse events (D38) (MC),Adverse events (OM),1,1
Adverse events (CA),Adverse events and effects (D 38),1,1
Measures of coagulation (MC),aPTT (OM),1,1
Other laboratory measurements (D24) (MC),arterial blood gas (OM),1,1
Measures of coagulation (MC),ATIII (OM),1,1
Blood usage (MC),Avoidance of allogeneic transfusion (OM),1,1
Life impact (D25) (MC),Barthel Index (OM),1,1
Blood and lymphatic system outcomes (D 2),Bleeding (D2) (MC),1,1
Vascular outcomes (clinical) (D 24),Bleeding (D24) (MC),1,1
Bleeding (D24) (MC),Bleeding (OM),1,1
Physiological (CA),Blood and lymphatic system outcomes (D 2),1,1
Bleeding (D24) (MC),Blood loss (OM),1,1
Need for further intervention (D 36),Blood usage (MC),1,1
Bleeding (D24) (MC),Chest tube output (OM),1,1
Measures of coagulation (MC),Coagulation factors (OM),1,1
Other laboratory measurements (D24) (MC),Complement (OM),1,1
Other laboratory measurements (D24) (MC),Complete Blood Count (OM),1,1
Other (D32) (MC),Consented and received intervention (OM),1,1
Measures of coagulation (MC),Ddimers (OM),1,1
Mortality (MC),Death (OM),1,1
Life impact (CA),Delivery of care (D 32),1,1
Other (D32) (MC),Donor exposure (OM),1,1
Resource use (CA),Economic (D 34),1,1
Other (D34) (MC),Economic impact (OM),1,1
Other laboratory measurements (D24) (MC),Electrolytes (OM),1,1
Other laboratory measurements (D24) (MC),Endothelial markers (OM),1,1
Organ specific treatment effect (D17) (MC),Extended Glasgow Outcome Scale (OM),1,1
Delivery of care (D 32),Feasibility (MC),1,1
Feasibility (MC),Feasibility (OM),1,1
Blood usage (MC),FFP (OM),1,1
Measures of coagulation (MC),Fibrin monomer (OM),1,1
Measures of coagulation (MC),Fibrinogen (OM),1,1
Need for additional treatment (MC),Fluids (OM),1,1
Adverse events (D36) (MC),General (OM),1,1
Organ specific treatment effect (D17) (MC),Glascow Coma Scale (OM),1,1
Life impact (CA),Global quality of life (D 30),1,1
Other laboratory measurements (D24) (MC),HCT (OM),1,1
Need for additional treatment (MC),Hemostatic agents (OM),1,1
Bleeding (D2) (MC),Hemostatic efficacy (OM),1,1
Resource use (CA),Hospital (D 35),1,1
Physiological (CA),Immune system outcomes (D 11),1,1
Other laboratory measurements (D24) (MC),in vivo thrombin generation (OM),1,1
Other laboratory measurements (D11) (MC),Inflammation markers (OM),1,1
Measures of coagulation (MC),INR (OM),1,1
